x	insertSortbest*1000	insertSortaverage	insertSortworst	selectionSortbest	selectionSortaverage	selectionSortworst	mergebest	mergeaverage	mergeworst
112 0 217 117 195.5 206.5 150.5 82.5 65.5 85.5
113 0 215 161.5 156.5 375 157.5 74 66.5 55
114 0 174.5 102 201.5 145 149.5 81 83.5 76.5
115 0 185.5 124 186.5 181.5 226 68.5 69.5 73.5
116 0 216.5 126.5 184.5 195 188.5 93 85 81.5
117 0 202 140 206.5 195.5 179 86.5 165.5 82.5
118 0 241.5 179.5 215.5 217.5 234.5 102.5 96 95
119 500 271 136.5 195 178 156.5 67 61 65
120 0 236 142.5 149 159.5 148.5 75 60 73
121 0 218 91.5 154 151.5 155 80.5 75 63
122 0 177.5 102 155 163 177.5 65 62 61.5
123 0 184.5 99.5 175.5 170 197.5 69 62.5 72.5
124 0 201 96 161.5 159.5 160.5 85 108 65
125 0 187 108.5 164 172 202.5 66.5 66 87
126 0 236.5 131.5 199.5 166 165.5 72.5 64.5 82.5
127 0 204.5 100.5 170 168.5 198.5 68.5 65.5 65.5
128 0 198 104.5 181 210 175.5 70.5 66 70.5
129 0 214 120.5 178.5 174 181.5 94 66 66
130 0 204.5 118.5 185 197.5 177.5 69.5 65 67
131 0 223 149.5 182 176.5 193.5 75.5 91 66
132 0 209.5 122.5 202.5 200 190.5 82 80 76
133 0 259 119 184.5 184.5 194 84 65.5 65
134 0 215.5 121.5 212.5 198 197.5 83.5 80.5 79.5
135 0 230.5 169.5 205.5 205.5 207.5 86 88.5 78.5
136 500 283.5 169.5 222.5 209 218 86.5 94.5 90
137 0 259.5 139.5 221.5 227 221 85.5 79 82
138 0 267 148.5 225 227.5 215 88.5 82.5 81.5
139 0 259.5 154 223.5 247 229 100 85.5 88.5
140 0 260.5 139 220 274 240 95 86.5 96.5
141 500 325.5 163 240 332 248 105 90.5 97.5
142 500 262 127 250.5 255 256.5 97 92 91.5
143 500 290 164.5 274 255 225.5 89 84.5 88
144 0 546 1057.5 296 255.5 251 103.5 92 92
145 500 503 429.5 303.5 302 457 109 101 94.5
146 500 323 200.5 290 292.5 292.5 102 95.5 131.5
147 500 329 188.5 292.5 299.5 294 102.5 97 97
148 500 354 192 297.5 300.5 296.5 103 96.5 94.5
149 0 280 160 232 230 235 79 74.5 73.5
150 0 263.5 143 234.5 238.5 247 80 76 76
151 0 271.5 153 245 240 240 81 76 76.5
152 0 333 192 333 335.5 310 122.5 116 126.5
153 500 357.5 228.5 285 334.5 318.5 116 110 96
154 500 351.5 219.5 318 315.5 299 103 125 107.5
155 0 357 196 331.5 348.5 320.5 103 98 97.5
156 500 363.5 211 396.5 326 327 106.5 104.5 101
157 500 364.5 212.5 322 269 271 81 77.5 76.5
158 0 287.5 153.5 257 256 253.5 77.5 77 77.5
159 0 289 168 260.5 257 258 78.5 78 78
160 0 301.5 170.5 261 261 260.5 86 80 80
161 0 297.5 172.5 265.5 265 266 81 80 80
162 0 301.5 163.5 269 289.5 271.5 89 82.5 82
163 0 311 179.5 280 277 276.5 87.5 156.5 101.5
164 500 385 236.5 354.5 398.5 524.5 133.5 134.5 124
165 500 496 249.5 403 334 376 118 112 115.5
166 2500 485.5 265 385.5 371 371.5 112.5 109 109
167 500 425 265 418 378.5 362.5 166 109.5 112.5
168 500 420 259.5 401.5 386.5 388 116.5 110.5 111
169 500 377.5 230 368.5 368 637 135 127 127
170 500 472.5 259.5 439.5 436 738.5 125 117 112
171 500 455.5 278.5 401.5 400.5 417 118.5 117.5 112
172 500 422.5 236 316 312.5 312 92.5 87 86.5
173 0 349.5 204.5 318.5 315.5 316.5 92 87.5 132
174 0 373 195.5 339.5 323.5 322.5 94.5 89 89
175 0 364 213 332 326.5 327.5 94.5 90 89.5
176 0 376.5 216.5 336.5 333 331 96 90.5 90
177 0 373 219.5 428.5 337 338 97 90.5 102
178 0 508.5 231 356 483 504.5 165 142.5 143.5
179 1000 577.5 424 471 515 551.5 170.5 145 147.5
180 500 495.5 305.5 462 424 452 118.5 114.5 115
181 0 501 263.5 407 490 433.5 177 111 115
182 500 932.5 289.5 590 338 341.5 102 92 92
