x	insertSortbest*1000	insertSortaverage	insertSortworst	selectionSortbest	selectionSortaverage	selectionSortworst	mergebest	mergeaverage	mergeworst
451 2000 2738.5 1249.5 2439.5 2048.5 2263.5 244 231.5 233.5
452 1000 2157.5 1258 2566.5 2544.5 2362.5 315 309.5 309.5
453 2000 2728.5 1435.5 2079.5 2087.5 2074.5 253 238.5 245.5
454 1000 2376 1738.5 3335.5 2250.5 2108 245 366 300
455 1500 2217 1413 2150 2619.5 2101.5 249 239 242.5
456 1000 2224 1308 2124 2206.5 2634 337 319 364.5
457 2000 2655.5 1722.5 4415.5 2143 2120 265 246 246.5
458 1000 2239.5 1382 2992 2840.5 2617 295 241 241
459 1000 2594 1753 2318 2579.5 2187.5 256 235.5 230
460 1000 2304 1440 2136 2341.5 2835 330 310 426
461 1500 3122.5 1832 2510.5 2169.5 2202 255.5 246.5 241.5
462 1000 2647 2150 2985.5 2893 2661.5 358.5 369.5 262.5
463 1000 2391 1569 2729 2393.5 2209.5 274.5 246.5 245
464 1000 2398.5 1655 2282 2898 2686.5 340.5 393 346
465 2000 3161 1948.5 2979 2281 2290 344.5 363 363.5
466 2000 3247 1805 2466.5 2217.5 2799 406.5 358 356
467 2000 3204.5 1311.5 2211.5 2224.5 2211.5 253.5 243 240.5
468 1000 2426.5 1381 2874.5 3013 3060.5 341.5 317.5 328
469 2000 3168 1497.5 2281 2253 3330 501.5 411 340
470 2000 3051 1445.5 2752 2869 2757 346.5 325 325.5
471 2000 2566 1386 2399.5 2401.5 2369.5 276.5 259 273
472 1000 3109 1940.5 3167 3289.5 2377.5 281 245 269.5
473 1000 2438.5 1389 2390.5 3096.5 3145 282 302.5 332
474 2000 2567.5 1416.5 2907.5 2271.5 2382.5 252.5 242 242
475 1000 2477 1342 2266 2266 2403 419 362.5 309
476 2500 3234 1732.5 3114 2530.5 2265.5 260 243.5 243
477 1000 2390.5 1506.5 3196.5 2677 2465 252 241.5 240
478 1000 3267.5 1704.5 2935.5 2513.5 2292 266 242 241.5
479 1000 2708.5 1678.5 2616.5 2804.5 3158 477.5 382.5 420
480 2000 3051.5 1783 2904 2844.5 3296.5 358.5 356 253
481 1000 2647 1575.5 2526.5 2451.5 3270 384.5 370 348
482 2000 2720.5 1468 2475 2526.5 2670 278 262 261
483 1000 2844 1486.5 2924 3352.5 3206 348.5 382 340
484 1500 3025 2177.5 2934 2933.5 3067.5 352.5 339 355
485 2000 3231.5 1803.5 2545 2400 2377.5 258.5 249.5 248.5
486 1000 2492.5 1433.5 2438.5 2411 2380 264 259 264.5
487 1000 2535 1442 2498 3919.5 3601 421 497.5 309
488 1500 3446 1784.5 3129 2822 2537.5 264.5 248.5 248.5
489 1000 2601.5 1574.5 2424 2453.5 2523.5 285 273 265.5
490 1000 2648 1492 2534 2503.5 2476.5 272.5 258.5 268
491 1000 3612.5 2270 3881.5 3424.5 2896 375.5 261.5 256.5
492 1000 2767.5 2050 2439.5 2452.5 2488 260.5 247 247
493 1000 2568 1547 2499 2484 2539 264 252.5 262
494 1000 2670 1511.5 2586.5 3926.5 4151 375 325.5 373.5
495 2000 3986 2075.5 3226 2969 2518 266 259.5 253
496 1000 2577.5 1636.5 2558.5 2610.5 2556 279 275 261
497 1500 2606.5 1497.5 2491 2550 2467 273 259 259
498 1000 3803.5 2218 4209.5 3236.5 3511.5 348 298 322
499 2000 3124 1514.5 2476.5 2508 2483 257 249.5 249
500 1000 2666.5 1549.5 2513.5 2570 2578.5 282.5 263.5 260.5
501 1000 2705.5 1572 3529 3598.5 3179 376.5 370 406.5
502 2500 4128 2552.5 3358 3001 2994.5 347 329.5 284.5
503 1000 2685 1586.5 2592.5 2661.5 2639 280.5 277 259.5
504 1000 2801.5 1689.5 2706.5 4121 3360.5 293 270.5 281
505 1000 3295 2741 3975 3449 2951 288 268.5 278
506 1000 3003.5 1536.5 2575.5 2581 2595 269.5 259 258.5
507 1000 2698 1641 2563.5 2569.5 3074 404.5 384.5 390.5
508 2000 3773.5 2229.5 2963.5 3694 4731 334 298.5 336.5
509 1500 3437.5 1808.5 2636.5 2668 2796.5 291.5 263.5 276.5
510 1000 2842 1611.5 2709.5 2707 2760 341.5 371 374.5
511 2000 4001.5 2391.5 3578 3179 3228 604.5 550.5 560
512 2500 3964 1996 3106.5 2729.5 2669.5 292.5 259.5 259.5
513 1000 2832 1647 2718 2710 2706.5 272.5 264 263.5
514 1000 3246.5 2296.5 3641.5 3725 3408 325 269 271.5
515 1000 3637.5 2053 3617 3362 2902 287.5 265 276.5
516 1500 2950.5 1688.5 2683.5 2693 2646 285.5 270 269
517 1000 2789 2407.5 3808.5 3470 3367 341 270 281
518 1500 3623.5 1620 2681 3061.5 3036 433.5 295.5 293
519 1500 2962 1622.5 2746.5 2727 2724 281 270 269.5
520 1000 2945.5 1741 3762.5 3632 2785 479.5 355 341.5
521 2000 4030.5 2097.5 3018 2757 2693.5 273.5 261.5 260.5
522 1000 3182.5 2020.5 2941.5 3177.5 2721.5 273 261 260
523 1000 2848 1633.5 2770.5 2747.5 2713 286 273 272.5
524 1000 3149.5 2294 3678.5 3398.5 2730.5 280 261 260.5
525 1000 2964.5 1636 2808 3222.5 3053.5 323 339.5 336.5
526 1500 3382.5 1693.5 2818 2851.5 2861 282.5 275.5 272
527 1000 3029 1715.5 3086 4237 2804 282.5 268.5 271
528 1000 2961 1672.5 2860.5 2770.5 3468.5 405.5 335 346.5
529 1500 3967.5 2182.5 3279 2857 2825 279 264.5 264
530 1000 2956 1704.5 2827 3864.5 3575.5 291.5 269.5 273
531 1000 3311.5 2056 2897.5 2912 2896 286 277.5 273.5
532 1000 3082.5 2260.5 3184 3567.5 3062 302.5 271.5 271.5
533 1000 3001 1816 2866 2927.5 3898.5 418 403.5 407
534 2000 3397.5 1903.5 2838 2912 2929.5 288.5 275 298
535 1000 3286.5 1732.5 3163 3369.5 3134 289 351 340
536 1000 3222 1701.5 2911.5 2958.5 2916 288.5 277.5 325.5
537 2000 4170.5 2023 3712 2896.5 2972 287.5 297.5 271.5
538 1500 3024.5 1734 2880.5 3006.5 3343 392 311.5 307
539 1500 3431 2010 2966.5 2892 2885 279.5 272 270.5
540 1000 3468.5 2191.5 3471 3657 3020.5 307 279.5 279.5
541 1500 3188 1939.5 3011.5 3003.5 3397.5 334 313 340
542 2000 3439.5 2150.5 3356.5 3068 3068 296 324.5 284
543 1500 3260 1961 3984.5 4406 3597.5 311 291 423
544 1500 3875.5 2046 2993.5 2949 3201 356 311 314
545 1500 3366.5 2224.5 3411 2969.5 2974 296.5 277 276.5
546 1500 3107 2444 4238.5 4014.5 2986 290 278.5 278.5
547 1500 3158 1883.5 2976 2990 3115 302.5 289 323
548 2000 4015.5 2466.5 3857 3129.5 3004.5 288 278.5 279
549 1500 3180 2053 4418 3977 3003.5 290 280 278.5
550 1000 3146 1815 3030 3058 3082 297.5 284.5 309.5
551 1000 4025 2148.5 3823.5 3136.5 3014 293 286 285.5
552 1500 3217.5 3016.5 3983 3886.5 3037.5 303.5 281.5 281
553 1500 3180 1813 3052 3048 3055 287 296.5 287
554 1000 3857 2136 3536 3646.5 3124 300 292 286.5
555 1500 3772.5 2704.5 4019.5 3571.5 3070 300.5 303 290.5
556 1000 3242.5 1878.5 3111.5 3063 3084.5 296.5 300.5 290.5
557 1000 3697.5 2454.5 3601 3419.5 3095 285 278.5 278
558 1500 4633 2650.5 3473 3155.5 3289 382 368 367.5
559 2000 3777 2022.5 3111.5 3308.5 3306 292.5 276.5 276.5
560 1000 3976.5 2584 3953 3267 4263.5 496 442.5 356
561 2500 4374 2085 3260 3454.5 3321.5 313.5 304.5 298.5
562 2000 3456 2095.5 3313 3294 4167.5 352.5 339 347.5
563 2500 4787.5 2251 3240.5 3174 3706 407.5 418 343
564 1500 3584 2281 3264.5 3205.5 3219.5 342.5 288.5 285
565 1000 3397.5 2266 3389.5 4016.5 4199.5 361 313.5 380
566 2500 3686.5 1962 3301 4078 3980 311 350.5 349
567 2000 3682 2084.5 3362 3406 3454 322.5 303 302.5
568 1500 3800.5 3015.5 4338 3863.5 3284 308 305 289.5
569 1500 3377.5 2194 3231.5 4628.5 3975 389 376 382.5
570 2500 3525 2054 3379 3437 3394.5 432.5 461.5 438.5
571 2500 4382 2299.5 3606.5 3448 3391 326.5 312 307.5
572 1000 4100 2741.5 4437 3539 3392.5 324.5 312.5 312
573 2000 3611 2228 3424.5 3917 3957 347 381 350
574 2000 3921 2054 3343.5 3294 3314.5 325 336 432
575 2000 4652 2137 3298 3322.5 3322 303.5 293.5 292
576 1500 3504 2179.5 3693.5 3847 3885.5 406.5 440.5 339.5
577 2000 3469 1971 3320 3321.5 3455.5 393 375 398.5
578 2500 4508.5 2247.5 3346.5 3368 3317 313 300.5 318.5
579 1500 3518 2483 3998 3952.5 3338.5 305.5 295.5 294.5
580 1500 3495.5 2004.5 3360.5 4004 4387.5 394.5 394 381.5
581 2000 4178 2009 3475.5 3408 3405.5 308.5 292.5 304.5
582 1500 4200.5 3166.5 4263.5 3396.5 3355 298 290 290
583 1500 3548 2270.5 4414.5 3587.5 3859 318.5 306.5 306
584 2000 3665 2165.5 3567.5 3692 4837.5 449.5 435 439
585 1500 4228.5 2140 3513.5 3434.5 3459 305 299 298.5
586 1500 4259.5 2714.5 4286.5 3444.5 3475 325.5 311 310.5
587 2000 3612 2211 4386 4036 3876 348.5 303 356.5
588 1500 3610 2042.5 3443 3457.5 4373 456 423 477
589 2000 4679.5 2223 3501.5 3525.5 3462.5 359 388.5 412.5
590 3000 4861.5 2840.5 4167.5 3478 3516 329.5 306.5 307.5
591 1500 3707 2189 4444 4561.5 3607 385.5 393.5 391
592 3000 3812.5 2093 3731.5 4791.5 4461 337 347.5 312.5
593 2000 4707.5 2368 3500 3536 3483 314.5 306 302.5
594 1500 5104.5 2937.5 3803.5 3577 3704 481.5 486 476.5
595 3000 4788.5 2519.5 3870 3915.5 3701.5 326 313.5 313.5
596 2000 3897 2452 3727.5 4740.5 4382.5 330 320 320
597 2000 4070 2513.5 4740.5 3855.5 3731.5 332 330 309
598 2000 3761 2140.5 3610 3561.5 3574.5 305 298 297.5
599 1500 3756 2892 5533 3654.5 4135 366.5 356.5 400
600 3000 4527.5 2812.5 3627.5 3575.5 3636.5 319.5 305 309
601 2000 3763.5 2138 3650 3588 4273 468.5 465.5 428
602 3000 4535.5 2689 4543 4438.5 4821.5 396 431 428.5
603 3000 4157.5 2294.5 3857 3860.5 3895 354 395.5 357
604 2000 4147 2956 5183 4535.5 5301.5 456 438 438.5
605 3000 5041.5 2370 3869 3748 3674 318.5 310 310
606 2000 3797 2376 3648.5 3838.5 4731.5 426 419 421.5
607 3000 5286 3964.5 4814 3738 3712.5 340 314 313.5
608 2000 3891.5 2286.5 3792.5 3794.5 3882.5 328 324 323
609 2000 4041 2554 6662 8006 4178.5 329.5 316.5 315.5
610 2000 3957 2317 3731.5 3835.5 3825 344 314.5 320.5
611 2000 3958 2288.5 4680.5 5330.5 5895 425 413 413.5
612 3000 4375.5 2365.5 3866 3924 4031 423 344.5 321
613 2000 4133 2425 3966.5 4635 5654 465.5 438 429.5
614 3000 6452 2600 3811.5 3845.5 3743 327 313.5 340.5
615 2000 4054.5 2591.5 3847.5 3824.5 3877 350 329.5 329.5
616 2000 5498.5 4442 4035.5 5249.5 4048.5 465.5 315.5 314.5
617 2000 3964.5 2326.5 3786 3838.5 3798 323.5 316 315
618 2000 3974.5 2698 5009 4942 3822.5 331 436 474.5
619 3000 5454 2662 3962 3871.5 3906 343.5 319 319.5
620 2000 4110 2751.5 4010 4554.5 4687 415.5 432.5 408
621 3000 4535 2321.5 5545 4210 4122 332 316 315.5
622 2000 4113.5 2364.5 3984.5 4247.5 4068.5 359 528.5 534.5
623 2500 7369.5 2493.5 3901.5 4122 5154 482 372 313.5
624 2000 4664 2575.5 4050.5 4046.5 4074.5 352.5 325.5 325.5
625 2000 6375 3616 4383.5 4023.5 4004.5 333 320 319.5
626 2000 5290 2863 4268.5 4140 4200 350.5 333.5 332.5
627 2000 4538.5 3549.5 5000.5 4396.5 3981.5 345 333.5 321.5
628 2000 4217.5 2513 4442 6014 4827 350.5 335.5 335.5
629 2000 4302.5 3057.5 5386.5 5026.5 3959.5 329.5 324 318.5
630 2000 4134.5 2378 3970 3964.5 5317 419.5 327.5 319.5
631 2000 4821.5 2386 3979 5024 5325 338.5 320 320
632 2000 4129.5 2569 4033 4078.5 3980 375.5 323 320.5
633 2000 5067.5 3368.5 5311 4014 4618.5 430 544.5 402.5
634 2000 5425 2709.5 3982.5 4043.5 3988 337.5 328.5 331.5
635 2000 4180.5 2742 4630.5 5016 4929 432.5 422.5 356
636 2000 5395.5 3135 5534 4198.5 4074.5 339.5 365.5 318
637 2000 4299 2404.5 4252.5 5382 5014 331 318.5 336
638 2000 4299.5 2416.5 5865.5 4735 4043.5 337.5 318.5 318
639 2000 4253.5 2536.5 4196 4582 5213.5 476.5 416.5 475
640 3000 4577 2440.5 4139.5 5654 5161 405 333.5 322
641 2000 4241.5 2446 4138 4102.5 4110 333 338 478
642 3000 5812 2955 4124.5 4200 4863.5 1084.5 441 427
643 3000 5491 2441 4103 4099 4134.5 346.5 335 334
644 2000 4282 3183.5 4232.5 4710 4289 352 342 398.5
645 2000 5744.5 3415.5 4730 4370.5 4392 382 345.5 352
646 2000 4576 2783.5 4333.5 4333.5 5704.5 463 468 346.5
647 2000 5796.5 3179.5 4621 4253 4185 332 322.5 330
648 2000 4352.5 2477.5 4167.5 4193 5196 331 336.5 327.5
649 2000 5311.5 3130.5 5431 4643 4187.5 336.5 323.5 327.5
650 2000 4406.5 2627 4249.5 4247.5 4204 331.5 327.5 323
651 2000 6572.5 2655 4786 5011 4779.5 347 351 339
652 2000 4466 2690 4276.5 4271.5 4217.5 338 330.5 334.5
653 2000 4575.5 3589 5500 5034 4934.5 507 447.5 401
654 2000 4672 2529.5 4324.5 4358 4328.5 351.5 392 353.5
655 2000 4596 2622.5 5828.5 5194 5035 423 407 439
656 3500 5288.5 2753.5 4293 4344.5 4282.5 349 334 334.5
657 2000 4455 2579 4476.5 5823 5048.5 355 342 339
658 2000 5218.5 2797.5 4735.5 4282 4356.5 362.5 378 348.5
659 2000 4751 2645 4428.5 5151.5 5882 480 441.5 382.5
660 2000 4553.5 2878 4882 4881 4364.5 364.5 345 345.5
661 2000 4585 2765 4599.5 4605.5 6031 363.5 336.5 336.5
662 2000 4885.5 2650 4781.5 5054.5 4475.5 346.5 333.5 332.5
663 2000 4535.5 2796 4455.5 4418 5620 463 443.5 441
664 2500 5512 2622.5 4596.5 4829 4867 414.5 416.5 390.5
665 2000 5271.5 2760.5 4386 4491 5419.5 514 475.5 406
666 2000 5615.5 2953 4480.5 4466.5 5137 417.5 395 397
667 2000 5154.5 2760.5 4412 4472 4773 510.5 520.5 508
668 3000 6276 2952.5 4479 4625.5 4689 396.5 436 486
669 2000 5307 3372.5 4653 4584.5 4590 372.5 357 357
670 2000 5140.5 4002 5036.5 4694 4774 388 481.5 506
671 2000 5603 3450 4643.5 4500.5 4481.5 360.5 352.5 350
672 2000 5761.5 2860.5 5206.5 4494 4715.5 405.5 370.5 382
673 2000 5779.5 3520 5371 4810 4774.5 401.5 386.5 381.5
674 2000 6504.5 3499 5290 4855 4856 385 368.5 610.5
675 3500 6337 3336.5 4657 4558 4535 358 346.5 346.5
676 2000 6154.5 3794.5 4799 4568 4537.5 355 346.5 382
677 2500 5615 3099.5 4824.5 4539.5 4553.5 348.5 338 342
678 2000 5712.5 3951 5220 4731.5 4735 372.5 355 350
679 2000 5556.5 3600 5000 4651.5 4809 362.5 400.5 364.5
680 2000 5998 3885 5296.5 4988.5 4838.5 375.5 359 524.5
681 2500 6176 3419 4640.5 4607 4587 366.5 355 355
682 2000 5980 3572 5321 4668 4892 402 554 461
683 2500 5954.5 3530.5 4837 4794 4641 378 527 523
684 3000 6314 3737.5 5476.5 4819 4683.5 359.5 347.5 359
685 2500 5672 3472 4967 4683.5 5073 473 471 458
686 3000 6144.5 2828.5 4889 4826 4837 380 370.5 368.5
687 2000 6576.5 3343 4813.5 4852 5551.5 557 510.5 622.5
688 3000 5828.5 2935.5 4870.5 4931 5258 445 408.5 417
689 2000 6585.5 2883.5 4726 4713 5104 658 671 529.5
690 3000 6447.5 3265.5 4761 4803 5491 435.5 417 440.5
691 3000 5820.5 2880.5 4774 4740 5699.5 479 466 465.5
692 2000 5945 3013.5 4776 4759 5926.5 535.5 524 451
693 2000 5394 2847.5 4876 5029 6294.5 494.5 471 473
694 2500 5595.5 3057.5 4942.5 5204 5613.5 418.5 391 379.5
695 3000 5156.5 2895.5 4843.5 5610.5 5526.5 454 447 689.5
696 2000 5860.5 3011.5 4958 5335.5 5664 489.5 431 467.5
697 2000 5188.5 2856.5 4825.5 5359 5871.5 367 350 351
698 2000 5109.5 3003.5 5128.5 5898.5 5901.5 361 351.5 346
699 2000 5023 2918.5 5136 5612.5 5273 397.5 351.5 347.5
700 2000 5129 2894.5 5194 5792 5750 539.5 428.5 414.5
701 2000 5085 2959.5 5248.5 5765 5236 368.5 357.5 356
702 2000 5069 3071 5275 5458 5592.5 361.5 347.5 347.5
703 2000 5179 3196 5598.5 5718.5 5372.5 389 368 367
704 2000 5384.5 3295 6026.5 5681.5 4968 417 363 374
705 2000 5220.5 3150 5855.5 6128.5 5062 387 366 365.5
706 2000 5299.5 3442.5 5767 5014 4973.5 364 353 349.5
707 2000 5155.5 3159 7521 5068 4963 371.5 362.5 359.5
708 2000 5612.5 3343 5913.5 4966 4971 371 361 360
709 2000 5579.5 3378 5491.5 5173 5160.5 384.5 380 402
710 2000 6509 4196.5 5325.5 5014.5 5001 374.5 363 364
711 2000 6299 3556.5 5318 5047.5 5186.5 495 506 456.5
712 2500 6536 3195.5 5049 5097.5 5339.5 554.5 435.5 363
713 2000 5958 3365.5 5147 5178.5 6014 454 421.5 422.5
714 3500 5964 3095.5 5144 5090 5795.5 378 382 474
715 2500 5932 3049 5150 5722.5 5619.5 420.5 485.5 429.5
716 3000 5369 3245.5 5175.5 5396.5 6024.5 495.5 450.5 467
717 3000 5740.5 3193 6298 6128.5 5378.5 385.5 369.5 388
718 2500 5530.5 3224 5200.5 6046.5 5821 379.5 365 366.5
719 2000 5341 3978 6461.5 5226 5166.5 377.5 365 364.5
720 2000 5462.5 3309.5 5723.5 6177.5 5169 383 367.5 371.5
721 2000 6170 3576 5401.5 5237.5 5303.5 389.5 372.5 372
722 2000 5392 3596.5 6084 5497.5 5424 417 540.5 425
723 2500 6298.5 3557 5193 5273.5 5266.5 378 367.5 364.5
724 2000 6132 4129 5718.5 5794.5 7055.5 450 465.5 394.5
725 2000 5453 3144 5223.5 5253.5 5354.5 456 446.5 457
726 2000 6397 3683 6064.5 6709.5 5244.5 400.5 384 380
727 2000 5431.5 3120 5346.5 5353 7538 590 709.5 446
728 3000 6055.5 4400 6213 5283.5 5257.5 381.5 368 410
729 2000 5535 3335 6430 6460.5 5852 604.5 511 532
730 2000 7151 3143 5295 5290.5 5344 402 393 389
731 2000 5502.5 3768 6651 5730 6398 459.5 585.5 411.5
732 2000 5512.5 3159.5 5323.5 5325.5 5295 406.5 389 390.5
733 2000 6675 4250.5 6045 6682.5 5399.5 389 378 375
734 2000 5531 3376.5 5431.5 5436.5 6395.5 483.5 768.5 483.5
735 2000 7026 4724 6297 5358 5453.5 382 364.5 364
736 2000 5584 3677.5 5780.5 7025 7204 536.5 483.5 563
737 3000 6257.5 3262 5552 5559 5506.5 406.5 389.5 389.5
738 2000 5775.5 3516.5 7307 7172.5 5489.5 403 390 387
739 2000 5663.5 3309 5602.5 5684.5 5693 407 398 410
740 2000 8410.5 4419 6011 5581.5 5742.5 417 394 393
741 2000 5918.5 3478.5 5708 6188 7419 553 580 594
742 4500 7103 3470.5 5946.5 5793.5 5533.5 400 386 386
743 2000 5702.5 3314 6828 7403 5465 395 378 377.5
744 2000 5679 3337.5 5492 5484.5 5481.5 376 372 367.5
745 2000 6842 4787.5 7447 5653 5515.5 394.5 379.5 379
746 2000 5806 3285 5544 5544 6956.5 732.5 725 603.5
747 4500 7604 3565 5582.5 5548 5552 408.5 391.5 407
748 2000 5782.5 3345 7103 6805 6961.5 398.5 379.5 379
749 2000 5821.5 3378.5 5712 5725 5771.5 420 405 404
750 2000 6513 4768.5 7300.5 6133.5 5728 410 404.5 392
751 2000 5819.5 3363.5 5604 5595.5 6919.5 502 505.5 660.5
752 4000 8043 3742 5740.5 5632.5 5608.5 409 393.5 408.5
753 2000 6160.5 3627 6792 8616 6905.5 391 375 374.5
754 2000 5851.5 3489 5816 5676 5693 406.5 387.5 384.5
755 2000 7032.5 4629 7260 5657.5 5657 395.5 422 391.5
756 2000 5965.5 3771 5883 6177.5 7505.5 579 514.5 487
757 2500 7335.5 3505 5969.5 5900.5 6233 475 391.5 391
758 2000 7616 4887.5 7913.5 8797 6627 550 403 402.5
759 2500 6767.5 4982.5 6085 7246.5 6512 432.5 420.5 576.5
760 3500 7524.5 3520.5 5876 5906.5 5912 430 410.5 410
761 2000 6769.5 4213 6323.5 6486.5 7735 460.5 412 424.5
762 2500 6882.5 3656 6184 7110.5 6524 390.5 377 376.5
763 2000 5979.5 4525.5 7327.5 7297 5780.5 415 381.5 380.5
764 2000 6011.5 3960 6807.5 6061.5 8679.5 684.5 398.5 392
765 2000 6023 3479 5822 5793.5 6120 481.5 508.5 469
766 2500 7275.5 3949.5 6451 6832 5939.5 403 386 385
767 2000 6180.5 3732 6305.5 6998 6526 513.5 513 419.5
768 3500 7795.5 3657.5 6192.5 5970.5 5997 430 380.5 380.5
769 2000 6563.5 4382.5 6680.5 7156 6080.5 408.5 424.5 381.5
770 2000 6118.5 3493.5 6061.5 6011.5 6740.5 472 430 396
771 23500 7450.5 4836 6497 6152.5 6155.5 418.5 398.5 413.5
772 2000 6129.5 3609 6688.5 6712.5 7755.5 542.5 393 386
773 2000 6214 3631 6134.5 6217 6758.5 477.5 469.5 497
774 2000 7621 4288.5 7267.5 6170 5977 419 405 408
775 2000 6201 3635 6523 7703.5 6838.5 511.5 512 465.5
776 3000 6965 3559.5 5967.5 6025.5 6068 426 411 412
777 2000 7111 3589 6398.5 7817 6121.5 407.5 393 392.5
778 2000 6217 3643 6151.5 7364.5 7419.5 411.5 398 397
779 2000 7147 4530.5 6017.5 6069 5993.5 411 414 405
780 2000 6727.5 3989 6606 7688.5 8329 461.5 399.5 398.5
781 2000 6276 3771.5 6180 6842 7088.5 476 432 455.5
782 2000 7252.5 4302.5 6692 6332 6277.5 459.5 431.5 427
783 2000 6280.5 7055.5 8258 7296.5 6579.5 413.5 399 404
784 2000 6411 3788 6308.5 6682 8108 457.5 414 389.5
785 2000 7570 4638.5 6265.5 6297 6289 453 425.5 423.5
786 2000 6547.5 4818 7335.5 7699 6673 414 412 401
787 2000 6351 3766.5 6267 6536.5 7405.5 567 553 618.5
788 2000 7382 4596 7332 6185.5 6175.5 412.5 401.5 401
789 2000 6366 4458.5 6712.5 7315 6802.5 405.5 391 399
790 2000 6458.5 3704.5 6248 6296 7231.5 461.5 429 440.5
791 2500 7636.5 3913 6302 6245.5 6195 416 400 400.5
792 2000 6543.5 3961.5 8079 6815.5 8222 586.5 550 847.5
793 2000 8671.5 3883 6384 6457 7811.5 529.5 586 618
794 2500 8251.5 4579.5 6270 6245 6268 417.5 402.5 430.5
795 2000 6496.5 4062 6879 8008.5 7075 494.5 422.5 403
796 10000 6674 3811 6475 6518.5 7236.5 455 472 557
797 3000 9332 4768.5 6524 6623.5 6630 458 430 432.5
798 2500 7626 5182.5 6739.5 8739 7259.5 432 419.5 418.5
799 2000 6760 3995.5 6379 7193.5 6901.5 431.5 417.5 417.5
800 2000 7762 4488.5 6427 6359 6408.5 431 416 415
801 2000 7415 4502 7509.5 6944.5 7352 415 400 400.5
802 2000 6645.5 3935.5 6687.5 7264.5 6915 432 409 411.5
803 2000 7326.5 3848.5 6428.5 6419 6498.5 433 415.5 415.5
804 2000 8300.5 4106 6702 7255 7474 422 410 419.5
805 2000 6708.5 3898.5 6806.5 7568.5 6617 421 408.5 404
806 2000 8261 5499.5 7587.5 6677.5 6889 541.5 519 532.5
807 3000 8385.5 3859.5 6998 7674 6473 432 417.5 409
808 2000 6805 3906 7500.5 7345.5 7043 543.5 616 596
809 3500 8325.5 4139.5 6928 6947 8038 539 488 539.5
810 2500 6960 3895.5 7885.5 6667 6594 431.5 415 415
811 2000 6792 4571 7558 6529.5 7435.5 516 530 485.5
812 3500 7410 4007 6783.5 7010.5 6731 424.5 428 411
813 2000 6819 4099 9762 7553.5 6710 425.5 408.5 408
814 2000 7669.5 5069.5 6953 7421 7674 431.5 420.5 431.5
815 2000 6865 4111 6632.5 7549.5 7029 414.5 401 401.5
816 2000 7952 5077.5 6638.5 6677.5 6616.5 430.5 403 406.5
817 2000 8203 4435.5 7030.5 7922.5 7256 434 417.5 416
818 2000 6890 3955.5 7062.5 8133 6973.5 558.5 564.5 559.5
819 3000 8340.5 3957.5 6634.5 6739.5 6953.5 493 508.5 545
820 2500 8189 3966.5 7869 7854 6695.5 438.5 416.5 444.5
821 2500 7046 4380.5 7692 7329.5 8118 440.5 420 425.5
822 2000 7059 4056.5 6933 6813 7899.5 504 482.5 466
823 2500 7747 4967 8401 6931.5 6999 466.5 476.5 457.5
824 2500 7609.5 5167.5 7231.5 8017 7169.5 439 422 421
825 2500 7013 4181.5 6865 7838 6883 514 486 500
826 2000 8655 4158 7020 6971.5 7036.5 504.5 450 472.5
827 2000 8104 4689.5 8345.5 7027.5 6985 581 422 413.5
828 2000 7194.5 4086.5 7435 8552 8513 519.5 473.5 464.5
829 2500 7238 4181.5 6874.5 6805.5 7221.5 497 474.5 486.5
830 2500 9406.5 4369 6830 6854.5 6933.5 444 424.5 424.5
831 2000 7292 4883 8911.5 7810.5 6951 461 442.5 445
832 2000 7253 4439.5 7213 8040 8844 584 536 539
833 4000 8048 4392 6964.5 6871.5 6929.5 519 475 465
834 2500 8222 5895.5 7469.5 6990.5 7108 469.5 444.5 447
835 2000 7382.5 4556 8697 8467.5 8501.5 462 441.5 531.5
836 2500 7414.5 4140.5 6982.5 7790 8471 556.5 524 499
837 2500 8362.5 4385 7028.5 7038.5 7158 458 589 549
838 2500 8465.5 5137.5 8843 7162.5 7196.5 466.5 465.5 455
839 2500 7564 4992.5 8587 8529.5 8664 486.5 481 445
840 2000 7866.5 4252.5 7249 8265 8857.5 589.5 562.5 567.5
841 3500 8455.5 4207 7028.5 7088.5 7602.5 598 594 621
842 3000 8584.5 5635.5 8286.5 7756.5 7301 448.5 435 474
843 2500 7612 4732.5 9441.5 8270.5 10398.5 502 612.5 505
844 2000 7930 4198 7571 10005.5 8893 455 438 436.5
845 2000 7472 4286 7328.5 7157.5 8947 525.5 732.5 752.5
846 4000 8868.5 4244 7136 7153 7083.5 452 440 452
847 2000 8726 5222 8052.5 7540 7213.5 443 427 426.5
848 2000 7364 4260.5 8550.5 8730 9440 620.5 632.5 571
849 2000 8688.5 4323 7198.5 9575 7467 475 469 468.5
850 2000 8581 4739 7165.5 7158 8195.5 573.5 567 599
851 3000 7986.5 4261 7890 7736.5 7204.5 445 429.5 430.5
852 2500 7776.5 5521 8194.5 7421 8316 563 551 523
853 2500 7524.5 4491.5 7502.5 9436.5 8923.5 473 483 458.5
854 2000 8819.5 5473 7449 8982 8792.5 447.5 432.5 443.5
855 3000 8149.5 4344.5 8508 7739 8214.5 758 559 558.5
856 3000 8333.5 4313 7318.5 7716 8962.5 480.5 441 441
857 2000 7662 5281 7848.5 7323 7340.5 500.5 468 677
858 2500 8425.5 4633.5 7898 9072 7394 458 482 438
